Front;;Back;;Tags
I totally agree.;;I totally agree – that film was brilliant.<br>I totally agree, we should leave early.<br>I totally agree, coffee is better than tea.<br>I totally agree, this place is way too expensive.<br>I totally agree, Mondays are the worst.;;2-Agree-Disagree
I completely agree.;;I completely agree – remote work is the future.<br>I completely agree, the price is ridiculous.<br>I completely agree, we need more holidays.<br>I completely agree, cats are better than dogs.<br>I completely agree, that was the best decision.;;2-Agree-Disagree
Absolutely.;;"Do you want another slice?" "Absolutely."<br>"Should we book it?" "Absolutely."<br>"Is this the best pizza ever?" "Absolutely."<br>"Can you come tonight?" "Absolutely."<br>"More coffee?" "Absolutely.";"Do you want another slice?" "Absolutely." "Should we book it?" "Absolutely." "Is this the best pizza ever?" "Absolutely." "Can you come tonight?" "Absolutely." "More coffee?" "Absolutely.";;2-Agree-Disagree
Exactly!;;That’s exactly what I was thinking!<br>Exactly! That’s the problem.<br>Exactly! Why didn’t we do this sooner?<br>Exactly! It’s way too hot today.<br>Exactly! That’s my point.;;2-Agree-Disagree
You’re absolutely right.;;You’re absolutely right, we should have left earlier.<br>You’re absolutely right, this tastes amazing.<br>You’re absolutely right, the meeting was pointless.<br>You’re absolutely right, eight o’clock is too late.<br>You’re absolutely right, summer is the best season.;;2-Agree-Disagree
I couldn’t agree more.;;Remote work saves time – I couldn’t agree more.<br>Exercise is important – I couldn’t agree more.<br>Sleep matters – I couldn’t agree more.<br>Travel is the best teacher – I couldn’t agree more.<br>Breakfast is key – I couldn’t agree more.;;2-Agree-Disagree
That’s a good point.;;That’s a good point, I hadn’t thought of the cost.<br>That’s a good point, traffic will be bad.<br>That’s a good point, we do need more time.<br>That’s a good point, the battery might die.<br>That’s a good point, it could rain.;;2-Agree-Disagree
You’ve got a point there.;;You’ve got a point there, but it’ll still be fun.<br>You’ve got a point there, it is expensive.<br>You’ve got a point there, mornings are quieter.<br>You’ve got a point there, the train is faster.<br>You’ve got a point there, we should check first.;;2-Agree-Disagree
I see where you’re coming from.;;I see where you’re coming from, but I still want to go.<br>I see where you’re coming from, it does look risky.<br>I see where you’re coming from, the price is high.<br>I see where you’re coming from, but I love cities.<br>I see where you’re coming from, it’s a big change.;;2-Agree-Disagree
Fair enough.;;You don’t eat meat? Fair enough.<br>You want to stay home? Fair enough.<br>You prefer tea? Fair enough.<br>You hate horror films? Fair enough.<br>You’re tired? Fair enough.;;2-Agree-Disagree
I’m with you on that.;;Banning phones in class – I’m with you on that.<br>Cutting down plastic – I’m with you on that.<br>Early mornings are best – I’m with you on that.<br>Pizza beats pasta – I’m with you on that.<br>Summer holidays need to be longer – I’m with you on that.;;2-Agree-Disagree
No doubt about it.;;She’s the best singer, no doubt about it.<br>This is the fastest route, no doubt about it.<br>He’s guilty, no doubt about it.<br>It’s going to rain, no doubt about it.<br>Chocolate is the best, no doubt about it.;;2-Agree-Disagree
Definitely.;;"Are you coming?" "Definitely."<br>"Should we book?" "Definitely."<br>"Want more cake?" "Definitely."<br>"Is it worth it?" "Definitely."<br>"See you tomorrow?" "Definitely.";"Are you coming?" "Definitely." "Should we book?" "Definitely." "Want more cake?" "Definitely." "Is it worth it?" "Definitely." "See you tomorrow?" "Definitely.";;2-Agree-Disagree
I’m not sure about that.;;Four-hour meeting? I’m not sure about that.<br>Flying tonight? I’m not sure about that.<br>Eating out again? I’m not sure about that.<br>Ten o’clock start? I’m not sure about that.<br>Borrowing money? I’m not sure about that.;;2-Agree-Disagree
