Front;;Back;;Tags
56. I feel…;;I feel really happy when the sun is shining.<br>I feel a bit nervous before exams.<br>I feel like dancing right now.<br>I feel sorry for the people waiting in the rain.<br>I feel much better after a good night’s sleep.;;3-Feelings-Emotions
57. I’m feeling…;;I’m feeling a bit under the weather today.<br>I’m feeling really excited about the trip.<br>I’m feeling quite confident about the test.<br>I’m feeling cold – can we turn the heating up?<br>I’m feeling hungry already.;;3-Feelings-Emotions
58. It makes me feel…;;It makes me feel uncomfortable when people stare.<br>It makes me feel proud when my kids do well.<br>It makes me feel sick just thinking about it.<br>It makes me feel relaxed listening to music.<br>It makes me feel angry when people lie.;;3-Feelings-Emotions
59. I’m kind of…;;I’m kind of tired after that long walk.<br>I’m kind of confused by the instructions.<br>I’m kind of excited about tomorrow.<br>I’m kind of hungry – shall we get pizza?<br>I’m kind of disappointed with the result.;;3-Feelings-Emotions
60. I’m a bit…;;I’m a bit annoyed that they didn’t call.<br>I’m a bit worried about the exam.<br>I’m a bit cold – can I borrow a jacket?<br>I’m a bit nervous about speaking in public.<br>I’m a bit sad the holiday is over.;;3-Feelings-Emotions
61. I’m really…;;I’m really excited about the concert tonight.<br>I’m really happy with my new phone.<br>I’m really tired after work.<br>I’m really hungry – let’s eat now.<br>I’m really proud of what we achieved.;;3-Feelings-Emotions
62. I’m totally…;;I’m totally stressed out with all these deadlines.<br>I’m totally fed up with this weather.<br>I’m totally in love with this song.<br>I’m totally exhausted after the gym.<br>I’m totally confused by the new rules.;;3-Feelings-Emotions
63. It bothers me that…;;It bothers me that people drop litter.<br>It bothers me that he never listens.<br>It bothers me that the train is always late.<br>It bothers me that prices keep rising.<br>It bothers me that nobody helps.;;3-Feelings-Emotions
64. It annoys me when…;;It annoys me when people talk during movies.<br>It annoys me when my phone keeps buzzing.<br>It annoys me when drivers don’t indicate.<br>It annoys me when meetings run late.<br>It annoys me when people are rude.;;3-Feelings-Emotions
65. I can’t stand it when…;;I can’t stand it when people chew loudly.<br>I can’t stand it when plans change last minute.<br>I can’t stand it when my internet is slow.<br>I can’t stand it when people lie to my face.<br>I can’t stand it when it’s too hot.;;3-Feelings-Emotions
66. I love it when…;;I love it when a plan comes together perfectly.<br>I love it when the house is clean and quiet.<br>I love it when I get good news.<br>I love it when it snows on Christmas.<br>I love it when everyone laughs at my joke.;;3-Feelings-Emotions
67. I’m excited about…;;I’m excited about starting my new job.<br>I’m excited about the weekend plans.<br>I’m excited about seeing my family.<br>I’m excited about learning guitar.<br>I’m excited about the holiday next month.;;3-Feelings-Emotions
68. I’m looking forward to…;;I’m looking forward to seeing you tomorrow.<br>I’m looking forward to the summer break.<br>I’m looking forward to trying the new restaurant.<br>I’m looking forward to finishing this project.<br>I’m looking forward to sleeping in.;;3-Feelings-Emotions
69. I’m fed up with…;;I’m fed up with this rainy weather.<br>I’m fed up with doing the same thing every day.<br>I’m fed up with traffic every morning.<br>I’m fed up with waiting for replies.<br>I’m fed up with bad customer service.;;3-Feelings-Emotions
70. I’m sick and tired of…;;I’m sick and tired of hearing excuses.<br>I’m sick and tired of cleaning up after everyone.<br>I’m sick and tired of slow internet.<br>I’m sick and tired of losing my keys.<br>I’m sick and tired of alarm clocks.;;3-Feelings-Emotions
71. I’m on the fence about…;;I’m on the fence about changing jobs.<br>I’m on the fence about buying a new car.<br>I’m on the fence about moving abroad.<br>I’m on the fence about getting a pet.<br>I’m on the fence about the new haircut.;;3-Feelings-Emotions
72. It’s driving me crazy…;;It’s driving me crazy that I can’t find my phone.<br>It’s driving me crazy when people are late.<br>It’s driving me crazy trying to park here.<br>It’s driving me crazy hearing that song on repeat.<br>It’s driving me crazy not knowing the answer.;;3-Feelings-Emotions
73. I’m over the moon about…;;I’m over the moon about passing the exam.<br>I’m over the moon about the new baby.<br>I’m over the moon about getting tickets.<br>I’m over the moon about the surprise party.<br>I’m over the moon about my new job.;;3-Feelings-Emotions
74. I’m gutted about…;;I’m gutted about missing the concert.<br>I’m gutted about losing the match.<br>I’m gutted about the cancelled holiday.<br>I’m gutted about breaking my phone.<br>I’m gutted about the bad news.;;3-Feelings-Emotions
75. I’m thrilled to bits…;;I’m thrilled to bits with my birthday present.<br>I’m thrilled to bits that we won.<br>I’m thrilled to bits about the wedding.<br>I’m thrilled to bits with the new house.<br>I’m thrilled to bits you’re coming.;;3-Feelings-Emotions
76. It breaks my heart…;;It breaks my heart to see animals suffer.<br>It breaks my heart when children cry.<br>It breaks my heart saying goodbye.<br>It breaks my heart seeing old people alone.<br>It breaks my heart throwing things away.;;3-Feelings-Emotions
77. It warms my heart…;;It warms my heart when strangers help each other.<br>It warms my heart seeing my kids play together.<br>It warms my heart when someone says thank you.<br>It warms my heart watching old couples.<br>It warms my heart hearing good news.;;3-Feelings-Emotions
78. I feel like…;;I feel like a coffee right now.<br>I feel like dancing in the rain.<br>I feel like staying in bed all day.<br>I feel like eating chocolate.<br>I feel like a million dollars today.;;3-Feelings-Emotions
79. I’m in the mood for…;;I’m in the mood for pizza tonight.<br>I’m in the mood for watching a comedy.<br>I’m in the mood for going for a long walk.<br>I’m in the mood for some ice cream.<br>I’m in the mood for listening to jazz.;;3-Feelings-Emotions
80. I’m stressed out about…;;I’m stressed out about the presentation tomorrow.<br>I’m stressed out about money this month.<br>I’m stressed out about moving house.<br>I’m stressed out about the wedding plans.<br>I’m stressed out about the exams next week.;;3-Feelings-Emotions
